City,"Meal Inexpensive Restaurant","Meal for 2 People Mid-range Restaurant Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (1 pint draught),Imported Beer (12 oz small bottle),Cappuccino (regular),Coke/Pepsi (12 oz small bottle),Water (12 oz small bottle),Markets,"Milk (regular) (1 gallon)",Loaf of Fresh White Bread (1 lb),"Rice (white) (1 lb)",Eggs (regular) (12),Local Cheese (1 lb),Chicken Fillets (1 lb),Beef Round (1 lb) (or Equivalent Back Leg Red Meat),Apples (1 lb),Banana (1 lb),Oranges (1 lb),Tomato (1 lb),Potato (1 lb),Onion (1 lb),Lettuce (1 head),Water (1.5 liter bottle),Bottle of Wine (Mid-Range),Domestic Beer (0.5 liter bottle),Imported Beer (12 oz small bottle),Cigarettes 20 Pack (Marlboro),Transportation,One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1 mile (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 gallon),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),Utilities (Monthly),"Basic (Electricity Heating Cooling Water Garbage) for 915 sq ft Apartment",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",Sports And Leisure,"Fitness Club Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema International Release 1 Seat",Childcare,"Preschool (or Kindergarten) Full Day Private Monthly for 1 Child","International Primary School Yearly for 1 Child",Clothing And Shoes 1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara H&M ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Rent Per Month,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Buy Apartment Price,Price per Square Feet to Buy Apartment in City Centre,Price per Square Feet to Buy Apartment Outside of Centre,Salaries And Financing,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%) Yearly for 20 Years Fixed-Rate",Country
New-York,16.64 €,83.19 €,7.49 €,6.11 €,7.90 €,4.15 €,1.77 €,1.43 €,Edit,3.75 €,3.06 €,2.07 €,2.62 €,5.20 €,5.00 €,6.51 €,2.28 €,1.07 €,2.22 €,2.33 €,1.59 €,1.56 €,1.95 €,1.79 €,12.48 €,2.54 €,2.53 €,12.48 €,Edit,2.29 €,106.07 €,3.16 €,2.50 €,27.04 €,2.22 €,"19,134.85 €","17,757.45 €",Edit,131.79 €,0.09 €,55.64 €,Edit,87.51 €,27.52 €,13.31 €,Edit,"2,123.10 €","30,726.69 €",Edit,52.39 €,36.64 €,75.03 €,109.94 €,Edit,"2,546.56 €","1,682.93 €","5,198.17 €","2,842.97 €",Edit,"1,172.01 €",613.53 €,Edit,"5,113.83 €",3.63,United States
Kolkata,2.25 €,11.23 €,3.37 €,1.68 €,3.14 €,1.48 €,0.36 €,0.15 €,Edit,2.02 €,0.27 €,0.25 €,0.76 €,2.05 €,1.16 €,3.20 €,0.75 €,0.27 €,0.47 €,0.24 €,0.14 €,0.21 €,0.32 €,0.31 €,7.02 €,1.59 €,2.50 €,3.87 €,Edit,0.11 €,2.81 €,0.34 €,0.45 €,0.84 €,3.50 €,"9,543.87 €","18,764.92 €",Edit,30.05 €,0.01 €,7.44 €,Edit,13.90 €,7.27 €,3.09 €,Edit,38.33 €,"1,506.23 €",Edit,28.80 €,24.80 €,41.66 €,30.79 €,Edit,132.41 €,80.07 €,352.62 €,186.45 €,Edit,91.00 €,41.77 €,Edit,344.27 €,8.42,India
Moscow,7.73 €,33.15 €,3.87 €,2.21 €,2.76 €,1.79 €,0.65 €,0.46 €,Edit,2.95 €,0.45 €,0.46 €,1.10 €,3.24 €,1.47 €,2.87 €,0.57 €,0.36 €,0.55 €,0.95 €,0.20 €,0.18 €,0.97 €,0.48 €,5.52 €,0.74 €,1.42 €,1.93 €,Edit,0.55 €,23.98 €,1.66 €,0.27 €,5.97 €,2.02 €,"15,469.63 €","17,746.61 €",Edit,94.92 €,0.02 €,5.20 €,Edit,35.37 €,23.96 €,4.97 €,Edit,446.52 €,"8,473.55 €",Edit,66.39 €,35.75 €,67.14 €,87.67 €,Edit,742.17 €,400.32 €,"1,525.58 €",726.16 €,Edit,433.53 €,207.02 €,Edit,820.86 €,8.41,Russia
Bangkok,1.87 €,22.46 €,4.81 €,1.87 €,3.47 €,1.86 €,0.49 €,0.24 €,Edit,5.25 €,1.02 €,0.49 €,1.57 €,7.56 €,0.95 €,3.63 €,1.24 €,0.51 €,0.84 €,0.59 €,0.57 €,0.53 €,0.83 €,0.41 €,18.37 €,1.58 €,2.68 €,4.01 €,Edit,0.96 €,34.73 €,0.94 €,1.50 €,3.21 €,2.67 €,"41,410.62 €","23,165.66 €",Edit,77.87 €,0.05 €,16.45 €,Edit,55.02 €,7.25 €,5.88 €,Edit,292.64 €,"13,616.88 €",Edit,46.21 €,30.76 €,80.36 €,69.85 €,Edit,505.45 €,260.70 €,"1,749.40 €",765.87 €,Edit,427.60 €,192.87 €,Edit,708.05 €,5.01,Thailand
Buenos-Aires,6.39 €,24.79 €,5.82 €,1.25 €,1.23 €,1.36 €,0.97 €,0.64 €,Edit,2.46 €,1.05 €,0.34 €,1.22 €,2.19 €,1.36 €,2.40 €,0.75 €,0.53 €,0.49 €,0.44 €,0.27 €,0.28 €,0.57 €,0.70 €,2.41 €,0.91 €,1.35 €,2.05 €,Edit,0.24 €,15.19 €,0.74 €,0.73 €,3.79 €,2.90 €,"25,708.39 €","20,212.53 €",Edit,44.83 €,0.11 €,22.09 €,Edit,26.35 €,10.90 €,4.16 €,Edit,228.60 €,"4,755.14 €",Edit,45.11 €,40.43 €,80.18 €,71.03 €,Edit,271.88 €,195.77 €,667.74 €,317.19 €,Edit,227.83 €,172.68 €,Edit,363.73 €,45.93,Argentina
Shenzhen,3.85 €,25.70 €,4.50 €,1.03 €,2.57 €,3.78 €,0.43 €,0.32 €,Edit,7.17 €,1.60 €,0.46 €,2.01 €,4.58 €,2.23 €,6.09 €,0.90 €,0.64 €,0.92 €,0.63 €,0.47 €,0.58 €,0.61 €,0.61 €,19.27 €,0.94 €,1.88 €,3.21 €,Edit,0.51 €,28.91 €,1.28 €,0.52 €,6.30 €,3.47 €,"19,480.06 €","17,777.48 €",Edit,63.25 €,0.02 €,16.59 €,Edit,39.18 €,14.41 €,6.42 €,Edit,570.20 €,"19,916.94 €",Edit,53.11 €,30.22 €,80.68 €,85.98 €,Edit,710.64 €,419.41 €,"1,442.08 €",915.68 €,Edit,"1,219.36 €",684.42 €,Edit,"1,145.30 €",5.12,China
Dhaka,1.52 €,11.78 €,5.40 €,3.68 €,4.91 €,1.96 €,0.27 €,0.16 €,Edit,2.76 €,0.49 €,0.27 €,1.03 €,3.01 €,1.17 €,2.64 €,0.74 €,0.41 €,0.72 €,0.30 €,0.15 €,0.23 €,0.28 €,0.27 €,6.87 €,2.06 €,4.91 €,2.75 €,Edit,0.44 €,20.62 €,0.98 €,0.55 €,2.16 €,3.37 €,"29,460.44 €","26,432.93 €",Edit,44.23 €,0.01 €,26.70 €,Edit,18.66 €,11.43 €,4.91 €,Edit,44.64 €,"1,910.39 €",Edit,21.72 €,25.13 €,56.68 €,41.60 €,Edit,130.47 €,76.16 €,356.23 €,203.72 €,Edit,109.66 €,56.82 €,Edit,240.22 €,10.68,Bangladesh
Lagos,2.03 €,30.38 €,5.06 €,0.61 €,1.01 €,1.91 €,0.24 €,0.16 €,Edit,9.54 €,0.80 €,0.95 €,1.17 €,2.36 €,1.58 €,1.56 €,1.14 €,0.71 €,0.60 €,0.82 €,0.81 €,0.63 €,0.89 €,0.37 €,4.05 €,0.65 €,1.00 €,0.81 €,Edit,0.41 €,20.25 €,1.01 €,1.63 €,4.05 €,1.16 €,"13,164.01 €","18,180.36 €",Edit,23.80 €,0.04 €,33.84 €,Edit,35.44 €,6.78 €,5.06 €,Edit,85.88 €,"1,744.78 €",Edit,13.60 €,17.21 €,42.96 €,47.49 €,Edit,816.62 €,567.74 €,"3,322.16 €","1,437.92 €",Edit,65.93 €,29.32 €,Edit,192.01 €,17.62,Nigeria
Istanbul,3.51 €,15.06 €,3.01 €,2.01 €,2.51 €,1.47 €,0.52 €,0.22 €,Edit,2.51 €,0.29 €,0.56 €,1.47 €,2.18 €,1.21 €,3.41 €,0.29 €,0.64 €,0.32 €,0.29 €,0.14 €,0.13 €,0.48 €,0.23 €,6.02 €,1.46 €,2.00 €,1.81 €,Edit,0.35 €,27.60 €,0.55 €,0.57 €,3.01 €,2.70 €,"25,093.81 €","22,213.99 €",Edit,51.11 €,0.08 €,12.36 €,Edit,19.72 €,13.49 €,3.01 €,Edit,213.31 €,"5,475.60 €",Edit,30.24 €,20.31 €,53.17 €,40.29 €,Edit,256.57 €,148.14 €,479.95 €,280.45 €,Edit,106.35 €,53.23 €,Edit,361.81 €,16.12,Turkey
Osaka,6.09 €,38.06 €,5.00 €,3.81 €,3.43 €,2.82 €,0.97 €,0.81 €,Edit,5.56 €,1.45 €,2.05 €,1.85 €,5.28 €,2.83 €,8.06 €,2.36 €,0.83 €,1.99 €,2.90 €,1.62 €,0.91 €,1.37 €,0.92 €,7.61 €,2.31 €,2.16 €,3.81 €,Edit,1.60 €,60.89 €,5.18 €,4.90 €,22.83 €,4.04 €,"22,834.75 €","15,025.27 €",Edit,150.92 €,0.21 €,36.63 €,Edit,70.87 €,24.55 €,13.70 €,Edit,409.12 €,"11,797.96 €",Edit,49.95 €,32.08 €,69.59 €,77.20 €,Edit,755.72 €,414.41 €,"1,807.75 €",884.85 €,Edit,631.56 €,392.71 €,Edit,"2,196.74 €",1.32,Japan
Karachi,1.49 €,10.81 €,3.78 €,1.64 €,3.51 €,1.45 €,0.26 €,0.18 €,Edit,2.49 €,0.36 €,0.38 €,0.92 €,2.28 €,1.10 €,1.69 €,0.39 €,0.22 €,0.31 €,0.21 €,0.12 €,0.13 €,0.36 €,0.34 €,2.30 €,0.93 €,1.75 €,1.41 €,Edit,0.16 €,9.40 €,0.65 €,0.26 €,1.35 €,2.20 €,"12,492.19 €","17,007.98 €",Edit,59.23 €,0.01 €,19.70 €,Edit,16.71 €,6.89 €,4.11 €,Edit,53.77 €,"1,275.01 €",Edit,14.56 €,21.44 €,45.51 €,35.67 €,Edit,115.93 €,75.82 €,270.78 €,161.48 €,Edit,66.23 €,40.19 €,Edit,218.94 €,13.09,Pakistan
Bangalore,2.25 €,11.23 €,3.37 €,1.68 €,3.37 €,1.43 €,0.41 €,0.17 €,Edit,1.85 €,0.40 €,0.29 €,0.82 €,2.58 €,1.35 €,2.46 €,0.85 €,0.25 €,0.35 €,0.15 €,0.20 €,0.23 €,0.47 €,0.32 €,8.42 €,1.60 €,2.75 €,3.93 €,Edit,0.56 €,15.72 €,0.79 €,0.36 €,1.12 €,3.70 €,"11,228.08 €","21,028.63 €",Edit,25.20 €,0.01 €,10.94 €,Edit,17.21 €,4.14 €,3.37 €,Edit,87.60 €,"2,415.03 €",Edit,23.91 €,24.38 €,40.04 €,31.78 €,Edit,195.70 €,122.28 €,484.46 €,283.09 €,Edit,135.32 €,63.65 €,Edit,660.91 €,8.47,India
Tehran,3.33 €,29.12 €,3.12 €,0.83 €,0.99 €,1.47 €,0.62 €,0.38 €,Edit,4.56 €,0.43 €,1.00 €,1.66 €,1.61 €,1.51 €,5.42 €,0.43 €,0.64 €,0.38 €,0.27 €,0.23 €,0.24 €,0.45 €,0.31 €,0.99 €,0.37 €,0.84 €,1.66 €,Edit,0.24 €,9.57 €,0.42 €,0.64 €,3.77 €,1.68 €,"41,597.50 €","47,189.25 €",Edit,30.07 €,0.02 €,15.52 €,Edit,23.66 €,11.84 €,2.96 €,Edit,99.84 €,"1,825.43 €",Edit,46.48 €,43.57 €,160.01 €,89.56 €,Edit,560.59 €,426.44 €,"1,232.24 €",786.53 €,Edit,289.89 €,132.92 €,Edit,220.90 €,20.55,Iran
Kinshasa,11.23 €,33.28 €,8.32 €,1.25 €,2.50 €,3.05 €,0.87 €,0.79 €,Edit,6.40 €,1.90 €,2.00 €,4.63 €,6.60 €,2.77 €,10.94 €,2.64 €,1.64 €,2.39 €,2.77 €,1.89 €,1.38 €,1.66 €,1.07 €,8.32 €,1.11 €,2.91 €,2.12 €,Edit,0.42 €,24.96 €,1.25 €,2.01 €,3.33 €,4.80 €,"29,118.25 €","26,206.42 €",Edit,166.39 €,0.26 €,194.12 €,Edit,137.27 €,22.88 €,8.32 €,Edit,249.58 €,"7,903.52 €",Edit,47.84 €,48.53 €,174.71 €,152.52 €,Edit,"1,351.92 €","1,143.93 €","2,724.64 €","1,317.25 €",Edit,558.56 €,77.29 €,Edit,721.02 €,21.00,Congo
Ho-Chi-Minh-City,1.80 €,21.54 €,3.50 €,0.72 €,1.44 €,1.58 €,0.48 €,0.26 €,Edit,4.64 €,0.67 €,0.30 €,1.18 €,4.24 €,1.14 €,4.36 €,0.89 €,0.37 €,0.64 €,0.36 €,0.49 €,0.44 €,0.74 €,0.41 €,10.77 €,0.74 €,1.20 €,1.01 €,Edit,0.24 €,6.11 €,0.43 €,0.87 €,1.25 €,2.65 €,"36,538.71 €","27,840.71 €",Edit,50.94 €,0.07 €,9.77 €,Edit,18.47 €,6.66 €,3.59 €,Edit,138.80 €,"11,357.43 €",Edit,35.61 €,21.78 €,82.84 €,76.83 €,Edit,443.96 €,301.75 €,913.46 €,629.94 €,Edit,283.44 €,110.77 €,Edit,399.80 €,9.24,Vietnam
Los-Angeles,16.64 €,62.40 €,7.49 €,5.82 €,6.66 €,3.96 €,1.83 €,1.79 €,Edit,3.08 €,2.75 €,1.74 €,2.82 €,4.72 €,4.29 €,5.52 €,1.49 €,0.62 €,1.19 €,1.63 €,0.97 €,0.83 €,1.39 €,1.59 €,12.48 €,2.05 €,1.86 €,8.32 €,Edit,1.46 €,83.19 €,2.37 €,2.25 €,24.28 €,2.87 €,"20,798.75 €","17,806.74 €",Edit,135.16 €,0.11 €,57.57 €,Edit,33.58 €,8.30 €,12.48 €,Edit,854.15 €,"20,636.16 €",Edit,39.42 €,32.46 €,65.49 €,93.14 €,Edit,"1,875.01 €","1,429.21 €","3,566.25 €","2,394.75 €",Edit,657.90 €,431.47 €,Edit,"4,122.84 €",3.58,United States
Rio-De-Janeiro,3.82 €,18.36 €,4.59 €,1.15 €,2.29 €,1.10 €,0.80 €,0.51 €,Edit,2.47 €,0.97 €,0.34 €,1.15 €,2.44 €,0.88 €,2.11 €,0.58 €,0.38 €,0.32 €,0.42 €,0.34 €,0.36 €,0.42 €,0.47 €,5.35 €,0.86 €,1.89 €,1.45 €,Edit,0.63 €,28.30 €,0.92 €,0.77 €,5.01 €,2.99 €,"11,855.35 €","15,336.47 €",Edit,66.76 €,0.20 €,16.96 €,Edit,18.01 €,15.30 €,4.59 €,Edit,284.39 €,"6,440.21 €",Edit,25.89 €,26.19 €,52.60 €,40.99 €,Edit,277.99 €,191.22 €,577.61 €,435.05 €,Edit,135.09 €,90.95 €,Edit,265.11 €,9.29,Brazil
Chennai,1.35 €,10.67 €,3.37 €,1.68 €,3.37 €,1.66 €,0.41 €,0.17 €,Edit,2.11 €,0.37 €,0.27 €,0.71 €,2.80 €,1.15 €,2.43 €,0.91 €,0.32 €,0.46 €,0.18 €,0.21 €,0.21 €,0.42 €,0.33 €,5.61 €,1.60 €,2.75 €,3.65 €,Edit,0.22 €,11.23 €,1.12 €,0.27 €,1.12 €,3.57 €,"11,228.08 €","21,343.74 €",Edit,32.76 €,0.01 €,9.74 €,Edit,16.36 €,5.54 €,2.25 €,Edit,61.09 €,"1,384.04 €",Edit,25.08 €,26.85 €,35.02 €,29.63 €,Edit,157.98 €,89.37 €,403.23 €,223.60 €,Edit,146.77 €,56.50 €,Edit,389.93 €,9.24,India
Chengdu,2.57 €,12.85 €,4.50 €,0.96 €,2.57 €,3.26 €,0.40 €,0.26 €,Edit,6.66 €,1.18 €,0.42 €,1.68 €,8.16 €,2.01 €,4.52 €,0.77 €,0.63 €,0.58 €,0.50 €,0.28 €,0.33 €,0.39 €,0.56 €,10.28 €,0.78 €,1.68 €,2.31 €,Edit,0.35 €,20.56 €,1.16 €,0.41 €,3.85 €,3.46 €,"19,274.46 €","17,507.64 €",Edit,38.08 €,0.02 €,13.59 €,Edit,30.52 €,7.92 €,5.14 €,Edit,351.84 €,"10,708.03 €",Edit,64.25 €,24.00 €,72.28 €,102.80 €,Edit,318.28 €,193.73 €,669.25 €,390.84 €,Edit,312.37 €,169.30 €,Edit,724.84 €,5.07,China
