City,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid range Restaurant, Three course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle),Cappuccino (regular),Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle),Markets,"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),"Rice (white), (1kg)",Eggs (regular) (12),Local Cheese (1kg),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apples (1kg),Banana (1kg),Oranges (1kg),Tomato (1kg),Potato (1kg),Onion (1kg),Lettuce (1 head),Water (1.5 liter bottle),Bottle of Wine (Mid Range),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Cigarettes 20 Pack (Marlboro),Transportation,One way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 liter),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),Utilities (Monthly),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",Sports And Leisure,"Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",Childcare,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","International Primary School, Yearly for 1 Child",Clothing And Shoes,1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid Range),1 Pair of Men Leather Business Shoes,Rent Per Month,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Salaries And Financing,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed Rate"
Kolkata,2.25 €,11.23 €,3.37 €,1.68 €,3.14 €,1.48 €,0.36 €,0.15 €,Edit,0.53 €,0.30 €,0.55 €,0.76 €,4.50 €,2.55 €,7.07 €,1.66 €,0.61 €,1.02 €,0.53 €,0.31 €,0.46 €,0.32 €,0.31 €,7.02 €,1.59 €,2.50 €,3.87 €,Edit,0.11 €,2.81 €,0.34 €,0.28 €,0.84 €,0.93 €,"9,543.87 €","18,764.92 €",Edit,29.34 €,0.01 €,7.45 €,Edit,13.90 €,7.27 €,3.09 €,Edit,38.33 €,"1,506.23 €",Edit,28.80 €,24.80 €,41.66 €,30.79 €,Edit,132.58 €,79.46 €,352.62 €,186.45 €,Edit,979.53 €,449.64 €,Edit,344.27 €,8.42
Los Angeles,16.64 €,62.40 €,7.49 €,5.82 €,6.66 €,3.96 €,1.83 €,1.79 €,Edit,0.81 €,3.03 €,3.85 €,2.82 €,10.41 €,9.47 €,12.17 €,3.28 €,1.36 €,2.63 €,3.60 €,2.14 €,1.83 €,1.39 €,1.59 €,12.48 €,2.05 €,1.86 €,8.32 €,Edit,1.46 €,83.19 €,2.37 €,1.40 €,24.28 €,0.76 €,"20,798.75 €","17,806.74 €",Edit,135.16 €,0.11 €,57.57 €,Edit,33.58 €,8.30 €,12.48 €,Edit,854.15 €,"20,636.16 €",Edit,39.42 €,32.46 €,65.49 €,93.14 €,Edit,"1,875.01 €","1,429.21 €","3,566.25 €","2,394.75 €",Edit,"7,081.62 €","4,644.29 €",Edit,"4,122.84 €",3.58
Shanghai,3.85 €,32.12 €,5.14 €,1.28 €,2.57 €,3.56 €,0.50 €,0.32 €,Edit,2.38 €,1.91 €,1.18 €,1.89 €,15.65 €,4.50 €,12.07 €,2.54 €,1.53 €,2.28 €,1.30 €,0.91 €,0.93 €,0.82 €,0.63 €,12.85 €,0.74 €,2.13 €,2.57 €,Edit,0.51 €,25.70 €,1.80 €,0.39 €,4.72 €,0.88 €,"17,989.50 €","19,947.18 €",Edit,51.78 €,0.03 €,12.79 €,Edit,50.55 €,10.21 €,6.42 €,Edit,937.62 €,"21,651.64 €",Edit,64.48 €,37.25 €,83.98 €,102.79 €,Edit,"1,099.10 €",526.48 €,"2,432.74 €","1,227.47 €",Edit,"12,901.84 €","6,292.83 €",Edit,"1,375.72 €",4.88
Moscow,7.73 €,33.15 €,3.87 €,2.21 €,2.76 €,1.79 €,0.65 €,0.46 €,Edit,0.78 €,0.50 €,1.01 €,1.10 €,7.14 €,3.23 €,6.32 €,1.26 €,0.79 €,1.21 €,2.10 €,0.45 €,0.39 €,0.97 €,0.48 €,5.52 €,0.74 €,1.42 €,1.93 €,Edit,0.55 €,23.98 €,1.66 €,0.17 €,5.97 €,0.53 €,"15,469.63 €","17,746.61 €",Edit,94.92 €,0.02 €,5.20 €,Edit,35.37 €,23.96 €,4.97 €,Edit,446.52 €,"8,473.55 €",Edit,66.39 €,35.75 €,67.14 €,87.67 €,Edit,742.17 €,400.32 €,"1,525.58 €",726.16 €,Edit,"4,666.51 €","2,228.35 €",Edit,820.86 €,8.41
Beijing,4.50 €,25.70 €,4.50 €,1.28 €,3.21 €,3.70 €,0.43 €,0.27 €,Edit,1.61 €,1.45 €,1.08 €,1.79 €,14.13 €,3.00 €,9.70 €,1.67 €,1.25 €,1.66 €,1.09 €,0.68 €,0.70 €,0.67 €,0.58 €,12.85 €,0.67 €,1.86 €,2.57 €,Edit,0.51 €,25.70 €,1.67 €,0.30 €,7.07 €,0.89 €,"18,631.98 €","15,927.93 €",Edit,50.23 €,0.03 €,14.82 €,Edit,46.32 €,23.62 €,7.07 €,Edit,687.97 €,"20,985.60 €",Edit,61.13 €,32.17 €,73.89 €,94.13 €,Edit,912.78 €,517.45 €,"2,030.80 €","1,175.16 €",Edit,"13,417.99 €","6,455.66 €",Edit,"1,174.88 €",5.26
Buenos Aires,6.39 €,24.79 €,5.82 €,1.25 €,1.23 €,1.36 €,0.97 €,0.64 €,Edit,0.65 €,1.15 €,0.76 €,1.22 €,4.83 €,3.01 €,5.30 €,1.65 €,1.17 €,1.09 €,0.98 €,0.60 €,0.61 €,0.57 €,0.70 €,2.41 €,0.91 €,1.35 €,2.05 €,Edit,0.24 €,15.19 €,0.74 €,0.46 €,3.79 €,0.77 €,"25,708.39 €","20,212.53 €",Edit,44.83 €,0.11 €,22.09 €,Edit,26.35 €,10.90 €,4.16 €,Edit,228.60 €,"4,755.14 €",Edit,45.11 €,40.43 €,80.18 €,71.03 €,Edit,271.88 €,195.77 €,667.74 €,317.19 €,Edit,"2,452.37 €","1,858.75 €",Edit,363.73 €,45.93
Guangzhou,2.57 €,19.27 €,3.85 €,1.28 €,1.93 €,3.61 €,0.49 €,0.32 €,Edit,1.58 €,1.25 €,0.80 €,1.94 €,9.37 €,4.18 €,9.99 €,2.22 €,1.25 €,1.80 €,1.09 €,0.82 €,0.90 €,0.66 €,0.59 €,6.42 €,0.80 €,1.96 €,3.21 €,Edit,0.26 €,15.42 €,1.54 €,0.33 €,5.65 €,0.90 €,"19,274.46 €","16,453.97 €",Edit,46.15 €,0.02 €,16.96 €,Edit,30.76 €,11.41 €,7.07 €,Edit,395.48 €,"12,509.77 €",Edit,54.98 €,31.20 €,69.49 €,63.52 €,Edit,546.91 €,266.06 €,"1,088.20 €",549.68 €,Edit,"8,600.82 €","4,204.20 €",Edit,"1,022.46 €",5.29
Shenzhen,3.85 €,25.70 €,4.50 €,1.03 €,2.57 €,3.78 €,0.43 €,0.32 €,Edit,1.90 €,1.77 €,1.01 €,2.01 €,10.10 €,4.92 €,13.42 €,1.99 €,1.41 €,2.03 €,1.40 €,1.03 €,1.27 €,0.61 €,0.61 €,19.27 €,0.94 €,1.88 €,3.21 €,Edit,0.51 €,28.91 €,1.28 €,0.32 €,6.30 €,0.92 €,"19,480.06 €","17,777.48 €",Edit,63.25 €,0.02 €,16.59 €,Edit,39.18 €,14.41 €,6.42 €,Edit,570.20 €,"19,916.94 €",Edit,53.11 €,30.22 €,80.68 €,85.98 €,Edit,710.64 €,419.41 €,"1,442.08 €",915.68 €,Edit,"13,125.22 €","7,367.13 €",Edit,"1,145.30 €",5.12
Istanbul,3.51 €,15.06 €,3.01 €,2.01 €,2.51 €,1.47 €,0.52 €,0.22 €,Edit,0.66 €,0.32 €,1.24 €,1.46 €,4.82 €,2.67 €,7.54 €,0.64 €,1.40 €,0.70 €,0.63 €,0.30 €,0.29 €,0.48 €,0.23 €,6.02 €,1.47 €,2.00 €,1.81 €,Edit,0.35 €,27.60 €,0.55 €,0.35 €,3.01 €,0.71 €,"25,093.81 €","22,213.99 €",Edit,51.31 €,0.08 €,12.36 €,Edit,19.67 €,13.49 €,3.01 €,Edit,213.31 €,"5,475.60 €",Edit,30.39 €,20.36 €,52.98 €,40.39 €,Edit,257.24 €,148.51 €,482.81 €,282.03 €,Edit,"1,144.72 €",572.99 €,Edit,361.93 €,16.06
Rio De Janeiro,3.82 €,18.36 €,4.59 €,1.15 €,2.29 €,1.10 €,0.80 €,0.51 €,Edit,0.65 €,1.07 €,0.75 €,1.15 €,5.38 €,1.94 €,4.66 €,1.28 €,0.84 €,0.71 €,0.93 €,0.75 €,0.79 €,0.42 €,0.47 €,5.35 €,0.86 €,1.89 €,1.45 €,Edit,0.63 €,28.30 €,0.92 €,0.48 €,5.01 €,0.79 €,"11,855.86 €","15,337.12 €",Edit,66.77 €,0.20 €,16.96 €,Edit,18.01 €,15.30 €,4.59 €,Edit,284.40 €,"6,440.48 €",Edit,25.89 €,26.19 €,52.60 €,40.99 €,Edit,278.00 €,191.22 €,577.64 €,435.07 €,Edit,"1,454.12 €",979.00 €,Edit,265.12 €,9.29
Paris,15.00 €,60.00 €,9.00 €,7.00 €,6.00 €,3.73 €,3.06 €,2.25 €,Edit,1.10 €,1.84 €,2.28 €,3.72 €,16.96 €,12.61 €,20.51 €,3.01 €,2.16 €,2.92 €,3.25 €,2.21 €,2.70 €,1.53 €,0.93 €,7.75 €,1.99 €,2.57 €,10.00 €,Edit,1.90 €,75.00 €,5.00 €,1.50 €,41.05 €,1.51 €,"20,650.00 €","25,315.38 €",Edit,173.19 €,0.22 €,26.98 €,Edit,37.06 €,19.34 €,11.00 €,Edit,776.76 €,"14,400.00 €",Edit,93.46 €,38.20 €,91.62 €,147.03 €,Edit,"1,216.20 €",858.93 €,"2,857.81 €","1,798.92 €",Edit,"13,400.76 €","10,138.98 €",Edit,"2,728.12 €",1.14
Karachi,1.49 €,10.82 €,3.79 €,1.64 €,3.52 €,1.45 €,0.26 €,0.18 €,Edit,0.66 €,0.40 €,0.84 €,0.92 €,5.03 €,2.43 €,3.74 €,0.86 €,0.49 €,0.68 €,0.48 €,0.27 €,0.28 €,0.37 €,0.34 €,2.30 €,0.93 €,1.75 €,1.46 €,Edit,0.16 €,9.41 €,0.65 €,0.16 €,1.35 €,0.58 €,"12,499.46 €","17,084.81 €",Edit,59.26 €,0.01 €,19.43 €,Edit,17.16 €,6.89 €,4.16 €,Edit,53.80 €,"1,289.83 €",Edit,14.46 €,21.29 €,45.53 €,36.16 €,Edit,116.00 €,75.86 €,272.93 €,162.95 €,Edit,713.29 €,432.88 €,Edit,219.07 €,13.09
Nagoya,6.09 €,30.43 €,4.95 €,2.78 €,4.56 €,3.13 €,1.17 €,0.82 €,Edit,1.56 €,1.71 €,5.71 €,1.89 €,18.26 €,9.21 €,19.97 €,4.73 €,2.59 €,4.30 €,4.95 €,3.80 €,2.47 €,1.67 €,0.86 €,9.89 €,1.99 €,2.11 €,4.11 €,Edit,1.83 €,76.08 €,3.80 €,3.42 €,22.82 €,1.11 €,"19,020.60 €","27,389.67 €",Edit,198.76 €,0.33 €,32.24 €,Edit,65.13 €,24.09 €,13.69 €,Edit,672.06 €,"13,314.42 €",Edit,55.54 €,31.70 €,56.59 €,113.04 €,Edit,670.61 €,450.15 €,"3,315.02 €","3,423.71 €",Edit,"3,565.43 €","2,053.75 €",Edit,"1,902.81 €",0.95
Chicago,12.48 €,62.40 €,6.66 €,4.99 €,5.82 €,3.53 €,1.64 €,1.29 €,Edit,0.65 €,2.42 €,3.36 €,1.80 €,9.20 €,7.42 €,10.06 €,3.31 €,1.37 €,2.64 €,3.26 €,2.14 €,2.08 €,1.50 €,1.56 €,9.98 €,2.23 €,2.38 €,12.06 €,Edit,2.08 €,87.35 €,2.70 €,1.34 €,21.63 €,0.64 €,"19,299.16 €","18,154.39 €",Edit,131.31 €,0.24 €,50.23 €,Edit,47.65 €,16.06 €,10.82 €,Edit,"1,189.98 €","18,416.92 €",Edit,40.71 €,33.52 €,69.58 €,93.39 €,Edit,"1,528.97 €",990.13 €,"2,938.09 €","1,758.05 €",Edit,"4,030.94 €","1,702.27 €",Edit,"4,089.69 €",3.75
Lagos,2.19 €,32.80 €,5.47 €,0.66 €,1.09 €,2.06 €,0.26 €,0.17 €,Edit,2.72 €,0.95 €,2.25 €,1.26 €,5.63 €,3.77 €,3.71 €,2.70 €,1.69 €,1.44 €,1.94 €,1.94 €,1.51 €,0.96 €,0.40 €,4.37 €,0.70 €,1.08 €,0.87 €,Edit,0.44 €,21.86 €,1.09 €,1.09 €,4.37 €,0.33 €,"14,212.02 €","19,627.73 €",Edit,25.69 €,0.04 €,36.53 €,Edit,38.26 €,7.32 €,5.47 €,Edit,92.71 €,"1,883.69 €",Edit,14.69 €,18.58 €,46.38 €,51.27 €,Edit,881.63 €,612.94 €,"3,586.64 €","1,552.39 €",Edit,766.17 €,340.72 €,Edit,207.29 €,17.62
London,17.24 €,68.97 €,6.90 €,5.75 €,5.29 €,3.31 €,1.70 €,1.28 €,Edit,1.08 €,1.14 €,1.75 €,2.51 €,7.34 €,7.13 €,11.47 €,2.54 €,1.32 €,2.32 €,2.96 €,1.43 €,1.30 €,0.90 €,0.98 €,9.20 €,2.08 €,2.29 €,14.02 €,Edit,3.22 €,180.27 €,3.45 €,1.95 €,33.10 €,1.37 €,"26,782.52 €","26,249.86 €",Edit,212.35 €,0.15 €,36.29 €,Edit,51.49 €,12.33 €,15.23 €,Edit,"1,654.91 €","20,639.51 €",Edit,68.39 €,33.97 €,79.74 €,94.51 €,Edit,"1,956.34 €","1,449.58 €","3,775.82 €","2,371.40 €",Edit,"12,542.10 €","6,410.09 €",Edit,"3,435.04 €",2.58
Bangkok,1.87 €,21.91 €,4.81 €,1.87 €,3.47 €,1.88 €,0.49 €,0.24 €,Edit,1.39 €,1.13 €,1.08 €,1.57 €,16.67 €,2.10 €,8.00 €,2.73 €,1.13 €,1.85 €,1.31 €,1.26 €,1.16 €,0.83 €,0.41 €,18.37 €,1.58 €,2.68 €,4.01 €,Edit,0.96 €,34.73 €,0.94 €,0.94 €,3.21 €,0.70 €,"41,410.62 €","23,165.66 €",Edit,77.87 €,0.05 €,16.45 €,Edit,55.02 €,7.25 €,5.88 €,Edit,292.64 €,"13,616.88 €",Edit,46.21 €,30.76 €,80.36 €,69.85 €,Edit,505.45 €,260.70 €,"1,749.40 €",765.87 €,Edit,"4,602.72 €","2,076.10 €",Edit,708.05 €,5.01
Kinshasa,11.23 €,33.28 €,8.32 €,1.25 €,2.50 €,3.05 €,0.87 €,0.79 €,Edit,1.69 €,2.09 €,4.41 €,4.63 €,14.56 €,6.10 €,24.13 €,5.82 €,3.61 €,5.27 €,6.10 €,4.16 €,3.05 €,1.66 €,1.07 €,8.32 €,1.11 €,2.91 €,2.12 €,Edit,0.42 €,24.96 €,1.25 €,1.25 €,3.33 €,1.27 €,"29,118.25 €","26,206.42 €",Edit,166.39 €,0.26 €,194.12 €,Edit,137.27 €,22.88 €,8.32 €,Edit,249.58 €,"7,903.52 €",Edit,47.84 €,48.53 €,174.71 €,152.52 €,Edit,"1,351.92 €","1,143.93 €","2,724.64 €","1,317.25 €",Edit,"6,012.38 €",831.95 €,Edit,721.02 €,21.00
Tehran,3.33 €,29.12 €,3.12 €,0.83 €,0.99 €,1.47 €,0.61 €,0.38 €,Edit,1.19 €,0.47 €,2.21 €,1.66 €,3.55 €,3.26 €,11.64 €,0.95 €,1.42 €,0.83 €,0.59 €,0.51 €,0.52 €,0.45 €,0.31 €,0.99 €,0.37 €,0.84 €,1.66 €,Edit,0.24 €,9.57 €,0.42 €,0.40 €,3.77 €,0.44 €,"41,597.50 €","47,189.25 €",Edit,30.07 €,0.02 €,15.52 €,Edit,23.66 €,11.84 €,2.96 €,Edit,99.84 €,"1,825.43 €",Edit,46.48 €,43.57 €,160.01 €,89.56 €,Edit,560.59 €,426.44 €,"1,232.24 €",786.53 €,Edit,"3,120.38 €","1,430.73 €",Edit,220.90 €,20.55
Lima,3.30 €,17.58 €,3.96 €,1.76 €,2.64 €,2.02 €,0.61 €,0.44 €,Edit,0.92 €,1.27 €,0.76 €,1.43 €,6.37 €,3.89 €,6.58 €,1.22 €,0.88 €,0.68 €,0.90 €,0.62 €,0.63 €,0.52 €,0.64 €,6.59 €,1.24 €,1.71 €,3.96 €,Edit,0.44 €,18.78 €,1.54 €,1.43 €,5.49 €,0.82 €,"12,305.65 €","14,530.98 €",Edit,58.95 €,0.13 €,25.90 €,Edit,36.05 €,8.87 €,5.27 €,Edit,199.68 €,"4,802.69 €",Edit,37.83 €,24.34 €,61.08 €,62.83 €,Edit,444.03 €,253.03 €,721.26 €,431.58 €,Edit,"1,529.08 €","1,009.55 €",Edit,377.92 €,9.28
